element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
CH,I,4303.36,0.782,-3.112,VALD3,,6.39,0.0,0.0,0.003,1.0,False,0,
CH,I,4303.376,0.7854,-3.449,VALD3,,6.39,0.0,0.0,0.001,1.0,False,0,
CH,I,4303.41,0.7855,-1.139,VALD3,,6.39,0.0,0.0,0.225,1.0,False,0,
V,I,4303.41578,2.565,-1.284,VALD3,,8.05,-5.33,-7.54,0.002,1.0,False,2,
CH,I,4303.438,0.7854,-1.163,VALD3,,6.39,0.0,0.0,0.215,1.0,False,0,
Gd,II,4303.455,1.4469,-1.31,VALD3,,0.0,0.0,0.0,0.001,1.0,False,0,
CH,I,4303.476,0.7855,-3.513,VALD3,,6.39,0.0,0.0,0.001,1.0,False,0,
V,I,4303.51397,2.5805,0.019,VALD3,,8.03,-4.93,-7.6,0.035,1.0,False,2,
Cr,II,4303.56269,5.8712,-2.668,VALD3,,8.39,-6.59,-7.782,0.001,1.0,False,2,
Nd,II,4303.57,0.0,0.08,VALD3,,0.0,-5.404,0.0,0.637,0.769321,False,0,
Ti,I,4303.57158,1.9685,-1.961,VALD3,,7.75,-5.24,-7.52,0.015,1.0,False,1,
CH,I,4303.614,0.0022,-2.397,VALD3,,6.52,0.0,0.0,0.084,1.0,False,0,
CH,I,4303.614,0.0022,-2.395,VALD3,,6.52,0.0,0.0,0.084,1.0,False,0,
CH,I,4303.651,0.6816,-3.166,VALD3,,6.36,0.0,0.0,0.003,1.0,False,0,
CH,I,4303.669,0.6845,-3.369,VALD3,,6.36,0.0,0.0,0.002,1.0,False,0,
CH,I,4303.697,0.6795,-1.891,VALD3,,6.52,0.0,0.0,0.059,1.0,False,0,
CH,I,4303.715,0.6845,-1.217,VALD3,,6.36,0.0,0.0,0.233,1.0,False,0,
CH,I,4303.751,0.6817,-3.138,VALD3,,6.36,0.0,0.0,0.003,1.0,False,0,
CH,I,4303.781,0.6796,-1.891,VALD3,,6.52,0.0,0.0,0.059,1.0,False,0,
