element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
CH,I,4302.573,0.8359,-3.088,VALD3,,6.44,0.0,0.0,0.003,1.0,False,0,
CH,I,4302.583,0.8397,-3.478,VALD3,,6.44,0.0,0.0,0.001,1.0,False,0,
CH,I,4302.602,0.8397,-1.118,VALD3,,6.44,0.0,0.0,0.212,1.0,False,0,
Ca,I,4302.62158,4.7353,-1.32,VALD3,,7.94,-2.87,-6.69,0.015,1.0,False,1,
CH,I,4302.651,0.7298,-3.137,VALD3,,6.38,0.0,0.0,0.003,1.0,False,0,
Ce,II,4302.65362,1.3194,-0.33,VALD3,,0.0,0.0,0.0,0.024,1.0,False,0,
CH,I,4302.654,0.733,-3.401,VALD3,,6.38,0.0,0.0,0.002,1.0,False,0,
CH,I,4302.657,0.8397,-1.139,VALD3,,6.44,0.0,0.0,0.204,1.0,False,0,
Fe,I,4302.65806,4.3714,-1.783,VALD3,,8.35,-4.35,-7.33,0.286,1.0,False,1,
Fe,I,4302.69084,2.4534,-4.61,VALD3,,7.76,-6.17,-7.82,0.042,1.0,False,1,
Dy,II,4302.714,0.5896,-1.658,VALD3,,0.0,0.0,0.0,0.008,1.0,False,0,
CH,I,4302.716,0.733,-1.188,VALD3,,6.38,0.0,0.0,0.226,1.0,False,0,
CH,I,4302.719,0.268,-3.274,VALD3,,6.26,0.0,0.0,0.006,1.0,False,0,
CH,I,4302.724,0.7299,-3.112,VALD3,,6.38,0.0,0.0,0.003,1.0,False,0,
Cr,I,4302.7351,4.6164,-0.445,VALD3,,8.54,-5.5,-7.58,0.035,1.0,False,2,
CH,I,4302.746,0.268,-1.24,VALD3,,6.26,0.0,0.0,0.415,1.0,False,0,
CH,I,4302.75,0.2664,-3.189,VALD3,,6.26,0.0,0.0,0.008,1.0,False,0,
CH,I,4302.785,0.3409,-2.426,VALD3,,6.49,0.0,0.0,0.037,1.0,False,0,
CH,I,4302.787,0.3409,-2.424,VALD3,,6.49,0.0,0.0,0.037,1.0,False,0,
CH,I,4302.79,0.7331,-1.163,VALD3,,6.38,0.0,0.0,0.235,1.0,False,0,
Cr,I,4302.824,4.6164,-0.12,VALD3,,0.0,0.0,0.0,0.074,1.0,False,2,
CH,I,4302.847,0.7331,-3.504,VALD3,,6.38,0.0,0.0,0.001,1.0,False,0,
Zr,I,4302.89,0.7301,-0.74,VALD3,,0.0,0.0,0.0,0.015,1.0,False,3,
CH,I,4302.905,0.2681,-1.206,VALD3,,6.26,0.0,0.0,0.432,1.0,False,0,
CH,I,4302.906,0.2665,-3.155,VALD3,,6.26,0.0,0.0,0.008,1.0,False,0,
Ca,I,4302.9227,4.7386,-2.159,VALD3,,7.92,-3.04,-6.68,0.002,1.0,False,1,
CH,I,4302.933,0.2681,-3.385,VALD3,,6.26,0.0,0.0,0.005,1.0,False,0,
Ti,I,4302.97808,1.0529,-2.091,VALD3,,7.15,-5.88,-7.77,0.084,1.0,False,1,
Fe,I,4303.04809,3.8835,-3.504,VALD3,,8.01,-4.89,-7.51,0.022,1.0,False,1,
CH,I,4303.057,0.3399,-3.813,VALD3,,6.43,0.0,0.0,0.002,1.0,False,0,
CH,I,4303.057,0.3399,-3.812,VALD3,,6.43,0.0,0.0,0.002,1.0,False,0,
CH,I,4303.098,0.3409,-1.864,VALD3,,6.43,0.0,0.0,0.129,1.0,False,0,
CH,I,4303.098,0.3409,-1.863,VALD3,,6.43,0.0,0.0,0.13,1.0,False,0,
Fe,II,4303.16997,2.7043,-2.56,VALD3,,8.56,-6.54,-7.875,0.78,1.0,False,1,
Co,I,4303.20531,0.2243,-4.78,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Co,I,4303.20944,0.2243,-4.655,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Co,I,4303.21647,0.2243,-4.769,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Co,I,4303.21649,0.2243,-4.956,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Fe,I,4303.22054,4.58,-1.988,VALD3,,8.47,-4.81,-7.4,0.139,1.0,False,1,
Co,I,4303.22435,0.2243,-23.752,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Co,I,4303.2351,0.2243,-4.974,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Co,I,4303.23552,0.2243,-4.78,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Co,I,4303.24899,0.2243,-4.358,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Nd,II,4303.25,0.5595,-1.78,VALD3,,0.0,0.0,0.0,0.006,1.0,False,0,
Co,I,4303.25,0.2243,-4.655,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
Co,I,4303.26762,0.2243,-4.769,VALD3,,4.43,-6.28,-7.82,0.173,1.0,False,2,
CH,I,4303.324,0.782,-3.088,VALD3,,6.39,0.0,0.0,0.003,1.0,False,0,
