element,ion,wavelength_air_A,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Ni,I,4723.8823,111.42,139.31,voigt,0.01,False,
Fe,I,4729.01918,57.39,20.6,voigt,0.0394,False,
Si,I,4738.83206,63.14,14.67,voigt,0.0167,False,
Fe,I,4738.95201,71.57,14.18,voigt,0.0306,False,
Fe,I,4741.52917,83.88,9.65,voigt,0.0127,False,
Ti,I,4742.7892,40.77,11.73,voigt,0.0176,False,
Cr,I,4745.3065,209.25,25.55,voigt,0.0111,False,
V,I,4748.5065,135.96,11.21,voigt,0.0066,False,
Ti,I,4759.2697,44.52,12.62,voigt,0.0092,False,
Cr,I,4759.47537,43.55,12.7,voigt,0.0095,False,
Cr,I,4759.75386,93.2,160.75,voigt,0.0143,False,
Cu,I,4767.41639,197.76,176.6,voigt,0.0361,False,
Fe,I,4771.88344,232.24,24.11,voigt,0.015,False,
Cr,I,4777.58487,40.53,96.74,voigt,0.008,False,
Fe,I,4782.78801,288.75,33.67,voigt,0.0161,False,
Fe,I,4785.72211,261.38,61.95,voigt,0.0196,False,
Fe,I,4787.49462,277.29,139.63,voigt,0.0337,False,
Ti,I,4787.6352,230.88,146.69,voigt,0.0369,False,
Ni,I,4793.42602,151.9,20.32,voigt,0.0074,False,
Fe,I,4794.3536,9.91,11.94,voigt,0.0087,False,
Fe,I,4797.03396,106.46,104.85,voigt,0.0086,False,
Fe,I,4800.12754,252.71,122.38,voigt,0.0179,False,
Fe,I,4807.70799,94.06,13.59,voigt,0.0137,False,
Cr,I,4807.81135,275.43,31.98,voigt,0.0113,False,
Zr,I,4815.04,122.1,98.45,voigt,0.0047,False,
Cr,I,4816.1392,57.68,102.29,voigt,0.0058,False,
Fe,I,4821.00215,39.7,4.69,voigt,0.0034,False,
Fe,I,4835.86715,65.01,5.92,voigt,0.0047,False,
Ti,I,4837.39563,119.99,94.28,voigt,0.0149,False,
Ti,I,4839.2514,283.45,141.95,voigt,0.025,False,
Fe,I,4852.25771,123.4,42.81,voigt,0.0048,False,
Fe,I,4854.48056,255.17,124.99,voigt,0.0224,False,
Fe,I,4868.93168,167.31,150.75,voigt,0.0181,False,
Fe,I,4873.75074,7.88,14.12,voigt,0.0395,False,
Fe,I,4875.02987,274.97,132.02,voigt,0.0199,False,
Fe,I,4893.69693,16.69,6.76,voigt,0.0057,False,
Fe,I,4907.32003,126.97,16.23,voigt,0.0058,False,
Ti,I,4915.2287,8.81,9.03,voigt,0.0113,False,
Fe,I,4916.66379,126.93,137.95,voigt,0.015,False,
Fe,I,4924.30076,256.9,24.71,voigt,0.0234,False,
Fe,I,4928.56766,166.21,140.28,voigt,0.0167,False,
Ti,I,4943.0668,135.76,20.33,voigt,0.0082,False,
Ni,I,4963.09608,95.07,37.41,voigt,0.0072,False,
Ti,I,4964.72,167.33,32.45,voigt,0.0182,False,
Cr,I,4964.92723,233.45,31.36,voigt,0.0167,False,
Fe,I,4972.9104,111.82,10.94,voigt,0.0056,False,
Fe,I,4980.53962,120.2,44.99,voigt,0.0421,False,
Ti,I,4988.60249,148.8,12.49,voigt,0.0068,False,
Cr,I,4992.58389,174.37,238.05,voigt,0.0442,False,
Fe,I,4995.40742,138.0,116.18,voigt,0.0238,False,
Ti,I,4997.0967,89.99,10.36,voigt,0.0077,False,
Mn,I,4998.1212,63.37,9.77,voigt,0.0206,False,
Ni,I,4998.2242,63.72,10.11,voigt,0.021,False,
Fe,I,5008.64147,8.82,8.3,voigt,0.0272,False,
Ti,I,5009.6447,160.63,32.37,voigt,0.0066,False,
Fe,I,5016.47696,19.59,20.93,voigt,0.0496,False,
Ti,I,5038.3979,53.45,28.61,gaussian,0.0625,False,
Fe,I,5039.53895,109.12,37.44,gaussian,0.0499,False,
Fe,I,5045.56215,24.65,9.74,voigt,0.0079,False,
Ti,I,5054.07445,112.29,61.77,voigt,0.0049,False,
Cr,I,5055.58089,86.74,21.12,voigt,0.0047,False,
Fe,I,5104.18906,186.44,29.79,voigt,0.0159,False,
Fe,I,5119.89927,112.1,156.08,voigt,0.0132,False,
Ti,I,5132.9286,290.78,66.88,voigt,0.028,False,
Fe,I,5159.95,170.05,54.41,voigt,0.0076,False,
Fe,II,5169.02818,290.93,78.39,gaussian,0.0976,False,
Fe,I,5171.31646,130.73,31.06,gaussian,0.0656,False,
Fe,I,5176.99294,125.83,50.33,voigt,0.0053,False,
Ti,II,5185.902,50.89,24.51,gaussian,0.0858,False,
Ni,I,5186.55271,6.64,7.21,voigt,0.0132,False,
Ti,II,5188.68713,181.44,53.14,voigt,0.0208,False,
Ti,II,5211.5303,38.85,7.96,voigt,0.0119,False,
Fe,I,5213.34317,6.05,18.02,voigt,0.0177,False,
Cr,I,5214.13143,22.9,12.92,voigt,0.0182,False,
Cr,I,5214.85846,202.38,20.61,voigt,0.0209,False,
Fe,I,5215.18001,202.5,19.79,voigt,0.0219,False,
Cr,I,5215.2853,202.54,19.84,voigt,0.0221,False,
Cr,I,5216.14628,201.95,17.6,voigt,0.0186,False,
Fe,I,5216.27365,201.48,17.53,voigt,0.0185,False,
Fe,I,5217.38899,163.11,18.96,voigt,0.0262,False,
Cr,I,5220.8912,38.11,8.36,voigt,0.005,False,
Fe,I,5221.03533,53.17,11.16,voigt,0.0053,False,
Fe,I,5223.18241,39.71,10.63,voigt,0.0131,False,
Cr,I,5223.87811,205.4,150.08,voigt,0.0165,False,
Cr,I,5238.9608,21.47,8.34,voigt,0.0086,False,
Fe,I,5240.63297,108.73,163.88,voigt,0.0141,False,
Cr,I,5241.458,118.09,108.39,voigt,0.0147,False,
Fe,I,5241.9,154.39,83.29,voigt,0.0142,False,
Cr,I,5243.3539,212.75,27.24,voigt,0.013,False,
Ni,I,5244.94057,58.52,51.98,voigt,0.0068,False,
Ti,I,5246.35315,187.0,43.16,voigt,0.0146,False,
Cr,II,5246.7731,237.69,26.27,voigt,0.0116,False,
Fe,I,5247.0498,91.62,11.1,voigt,0.014,False,
Fe,I,5249.68197,271.99,43.79,voigt,0.0157,False,
Fe,I,5250.64535,146.65,16.32,voigt,0.0218,False,
Ti,I,5250.92031,145.28,12.47,voigt,0.0132,False,
Cr,I,5255.117,215.23,15.54,voigt,0.0104,False,
Fe,I,5259.09371,64.92,23.47,voigt,0.0025,False,
Ti,I,5259.9728,89.95,175.85,voigt,0.0123,False,
Fe,I,5260.1253,90.42,27.09,voigt,0.0126,False,
Fe,I,5267.26872,16.4,21.8,gaussian,0.0569,False,
Fe,II,5272.39898,246.87,152.82,voigt,0.0297,False,
Fe,I,5273.16321,174.77,86.87,voigt,0.0482,False,
Fe,I,5278.57419,47.99,102.94,voigt,0.0046,False,
Cr,II,5279.8777,132.64,40.18,voigt,0.0196,False,
Fe,I,5281.165,290.98,31.66,voigt,0.0178,False,
Fe,I,5281.30449,278.94,29.57,voigt,0.0163,False,
Ni,I,5283.91083,273.44,13.21,voigt,0.0081,False,
Fe,I,5285.1268,37.8,16.7,voigt,0.0305,False,
Ca,II,5285.266,141.44,227.14,voigt,0.0276,False,
Mn,I,5289.38672,75.47,17.8,voigt,0.0046,False,
Fe,I,5293.0294,116.43,33.41,voigt,0.003,False,
Cr,I,5293.37601,117.27,63.5,voigt,0.0042,False,
Fe,I,5293.95821,41.97,6.1,voigt,0.0043,False,
Ti,I,5300.0105,5.93,14.39,voigt,0.0259,False,
Fe,I,5301.31279,216.76,33.15,voigt,0.0204,False,
Fe,I,5339.92903,39.07,59.51,gaussian,1.4824,False,
Cr,I,5344.7564,122.27,50.37,voigt,0.0201,False,
Zr,II,5350.089,237.47,49.77,voigt,0.0199,False,
Ti,I,5351.06709,94.6,170.75,voigt,0.0144,False,
Fe,I,5353.96124,120.28,40.8,voigt,0.0084,False,
Fe,I,5354.13041,139.27,24.08,voigt,0.0088,False,
Fe,I,5358.44029,32.16,5.33,voigt,0.0003,False,
Fe,I,5362.27847,182.5,22.92,voigt,0.0103,False,
Cr,I,5367.3411,180.77,24.75,voigt,0.0386,False,
Cr,II,5369.356,237.58,134.94,voigt,0.0319,False,
Fe,I,5369.96066,285.06,28.71,voigt,0.0303,False,
Zr,II,5372.466,266.13,44.61,voigt,0.0383,False,
Fe,I,5374.14498,69.07,6.31,voigt,0.0035,False,
Fe,II,5376.46583,80.86,14.58,voigt,0.0031,False,
Ti,I,5376.59913,90.55,14.42,voigt,0.0029,False,
Fe,I,5379.57336,62.7,6.12,voigt,0.0055,False,
C,I,5380.337,149.5,49.55,voigt,0.0094,False,NLTE_flag
Fe,I,5386.07515,40.16,3.44,voigt,0.002,False,
Ni,I,5392.3309,220.8,66.67,voigt,0.0235,False,
Ti,I,5394.1582,182.6,41.78,voigt,0.0226,False,
Fe,I,5394.34583,90.87,12.0,voigt,0.0199,False,
Ti,II,5396.2466,272.48,141.51,voigt,0.032,False,
Fe,I,5396.89801,283.83,12.52,voigt,0.0081,False,
Fe,I,5400.07355,176.06,50.78,voigt,0.0174,False,
Fe,I,5401.26596,39.1,13.91,voigt,0.017,False,
Fe,II,5408.81452,216.85,56.98,voigt,0.0235,False,
Ti,I,5409.6078,194.38,15.39,voigt,0.0165,False,
Fe,I,5410.90915,191.1,19.33,voigt,0.0223,False,
Ni,I,5411.21844,182.58,17.9,voigt,0.0208,False,
Ca,I,5412.91865,14.77,15.9,voigt,0.0108,False,
Ti,II,5418.7678,52.1,13.92,voigt,0.0083,False,
Cr,I,5420.04727,93.91,7.87,voigt,0.0066,False,
Fe,I,5435.02545,268.34,44.21,voigt,0.0227,False,
Fe,I,5438.0351,68.71,81.28,voigt,0.0057,False,
Fe,I,5439.9017,32.61,22.41,voigt,0.0016,False,
Fe,I,5452.60559,60.56,27.54,voigt,0.001,False,
Ti,I,5456.8933,171.01,81.8,voigt,0.0397,False,
Ti,I,5471.192,113.95,81.0,voigt,0.0063,False,
Ti,I,5474.223,101.41,7.53,voigt,0.0044,False,
Cr,I,5482.97816,122.29,54.6,voigt,0.0129,False,
Fe,I,5483.09845,73.85,12.73,voigt,0.0128,False,
Fe,I,5486.64485,156.94,41.46,voigt,0.0106,False,
Si,I,5488.98253,130.08,76.37,voigt,0.013,False,
Ti,I,5490.1477,33.42,4.65,voigt,0.0021,False,
Fe,I,5491.8315,9.47,8.09,voigt,0.004,False,
Ti,II,5492.88119,114.03,51.2,voigt,0.003,False,
Mn,I,5495.00762,23.44,6.0,voigt,0.004,False,
Fe,I,5497.51568,152.64,17.79,voigt,0.0086,False,
Fe,I,5503.07087,100.93,16.48,voigt,0.0161,False,
Fe,I,5506.77845,151.63,7.81,voigt,0.006,False,
Cr,I,5507.44131,206.26,99.34,voigt,0.0168,False,
Fe,I,5512.2567,250.79,49.47,voigt,0.0081,False,
Fe,I,5513.86524,167.65,82.53,voigt,0.0177,False,
Si,I,5517.53317,111.88,21.77,voigt,0.0021,False,
Fe,I,5520.9273,80.29,84.95,voigt,0.0036,False,
Fe,I,5532.74616,64.67,5.69,voigt,0.0011,False,
Fe,I,5534.65905,75.57,10.01,voigt,0.0107,False,
Fe,I,5545.70271,100.59,117.36,voigt,0.0089,False,
Fe,I,5546.72456,69.08,3.11,voigt,0.0012,False,
Fe,I,5549.65096,29.35,4.24,voigt,0.0002,False,
Fe,I,5552.69148,84.46,13.74,voigt,0.0034,False,
Fe,I,5554.74071,111.75,11.49,voigt,0.0049,False,
Fe,I,5559.35903,89.02,29.74,voigt,0.0077,False,
Fe,I,5560.21088,52.14,1.62,voigt,0.0003,False,
Fe,I,5561.24211,89.21,68.41,voigt,0.0087,False,
Cr,I,5566.54284,192.6,26.09,voigt,0.0126,False,
Fe,I,5568.81,211.95,49.09,voigt,0.0206,False,
Fe,I,5570.05062,205.82,11.01,voigt,0.0075,False,
Fe,I,5576.089,125.13,28.03,voigt,0.0182,True,blend_flag
Fe,I,5577.02439,17.87,14.92,voigt,0.0185,False,
Fe,I,5579.94268,67.7,76.88,voigt,0.0062,False,
Ti,I,5589.99559,106.24,21.75,voigt,0.034,False,
Fe,I,5602.54119,269.37,14.39,voigt,0.0161,False,
S,I,5606.77395,27.24,7.81,voigt,0.0004,False,
Fe,II,5607.12521,32.97,21.1,voigt,0.0005,False,
Cr,I,5609.16006,35.98,5.64,voigt,0.0005,False,
Fe,I,5611.35608,12.92,1.36,voigt,0.0002,False,
V,I,5616.63921,285.92,105.8,voigt,0.0364,False,
Ti,I,5618.346,58.13,4.02,voigt,0.0033,False,
Fe,I,5619.22418,131.83,40.52,voigt,0.0064,False,
Fe,I,5620.02655,126.44,25.29,voigt,0.0061,False,
Si,I,5622.2197,44.52,106.47,voigt,0.0057,False,
Fe,I,5624.02126,265.86,33.86,voigt,0.0126,False,
Fe,I,5627.08049,80.66,76.82,voigt,0.0039,False,
Fe,I,5627.36145,34.43,4.34,voigt,0.0016,False,
Fe,I,5636.69544,25.95,10.91,voigt,0.0128,False,
Fe,I,5636.82447,155.1,55.8,voigt,0.0108,False,
Fe,I,5638.93247,137.47,89.59,voigt,0.0101,False,
Fe,I,5640.30654,31.73,11.64,voigt,0.0102,False,
Cr,I,5641.73476,98.32,7.2,voigt,0.0042,False,
Fe,I,5642.75027,115.07,77.01,voigt,0.0104,False,
Si,I,5645.03323,103.51,35.21,voigt,0.0044,False,
Fe,I,5645.83246,47.32,5.79,voigt,0.003,False,
Fe,I,5646.68359,11.73,5.22,voigt,0.0023,False,
Ti,I,5648.56598,80.19,24.42,voigt,0.0034,False,
Fe,I,5648.88419,92.95,69.06,voigt,0.0045,False,
Fe,I,5649.98657,143.18,14.42,voigt,0.0036,False,
Si,I,5650.48315,157.39,53.49,voigt,0.0046,False,
Si,I,5650.59813,54.88,7.53,voigt,0.0051,False,
Fe,I,5650.70512,55.32,7.55,voigt,0.0051,False,
Fe,I,5652.31726,23.43,10.72,voigt,0.0041,False,
Fe,I,5653.86444,53.97,11.09,voigt,0.0119,False,
Ti,I,5654.76501,260.88,17.55,voigt,0.0065,False,
Si,I,5660.67668,26.8,60.44,voigt,0.0271,False,
Fe,I,5660.80073,86.96,35.5,voigt,0.0216,False,
Fe,I,5661.01999,87.58,28.76,voigt,0.0142,False,
Fe,I,5661.9703,234.11,39.17,voigt,0.0108,False,
Ti,I,5662.15,184.37,19.42,voigt,0.0103,False,
Si,I,5666.67685,164.08,19.85,voigt,0.0051,False,
Cr,I,5667.81511,76.25,7.23,voigt,0.0044,False,
Ni,I,5669.94313,66.01,9.85,voigt,0.0025,False,
Fe,I,5672.26135,42.69,8.3,voigt,0.0007,False,
Cr,I,5674.17436,54.41,22.87,voigt,0.0042,False,
Cr,I,5675.07013,105.17,4.4,voigt,0.001,False,
Si,I,5675.75544,99.59,2.27,voigt,0.0003,False,
V,I,5676.58435,64.88,17.9,voigt,0.0041,False,
Fe,I,5677.68403,7.02,4.46,voigt,0.0049,False,
Ti,I,5679.91693,84.58,17.57,voigt,0.0043,False,
Fe,I,5681.50574,149.54,28.5,voigt,0.0128,False,
Na,I,5682.633,159.39,9.69,voigt,0.0059,True,blend_flag; NLTE_flag
Fe,I,5683.00433,169.83,16.8,voigt,0.0122,False,
Fe,I,5683.45084,205.16,30.3,voigt,0.0175,False,
Fe,I,5686.12,101.5,51.12,voigt,0.0087,False,
Fe,I,5686.52947,110.81,12.88,voigt,0.0129,False,
Fe,I,5687.85661,170.42,14.61,voigt,0.0121,False,
Na,I,5688.205,163.0,10.0,voigt,0.0079,True,blend_flag; NLTE_flag
Ti,I,5689.46,20.58,15.79,voigt,0.0183,False,
Fe,I,5691.17328,52.99,6.15,voigt,0.0041,False,
Fe,I,5693.21578,64.36,32.25,voigt,0.0071,False,
Fe,I,5693.31954,51.65,14.65,voigt,0.0059,False,
Fe,I,5693.6159,58.71,4.4,voigt,0.0033,False,
Fe,I,5698.01991,110.86,13.48,voigt,0.0012,False,
Si,I,5701.104,176.19,17.3,voigt,0.0073,False,
Ti,I,5701.64598,110.35,7.44,voigt,0.0049,False,
Fe,I,5701.89768,117.68,8.87,voigt,0.0059,False,
Ti,I,5702.00598,178.81,22.77,voigt,0.009,False,
Ti,I,5703.8981,36.52,7.97,voigt,0.0035,False,
Fe,I,5704.73264,23.99,9.44,voigt,0.0116,False,
Fe,I,5705.99176,127.01,16.02,voigt,0.0155,False,
S,I,5706.424,142.73,19.19,voigt,0.0127,False,
Fe,I,5707.2479,141.23,32.51,voigt,0.0183,False,
Fe,I,5708.09347,230.97,39.33,voigt,0.0267,False,
Si,I,5708.39952,143.57,23.69,voigt,0.026,False,
Fe,I,5709.37755,238.51,31.66,voigt,0.0242,False,
Mg,I,5711.088,90.94,2.68,voigt,0.0002,False,
Fe,I,5712.13085,217.18,22.69,voigt,0.0138,False,
Cr,I,5712.7714,189.93,165.25,voigt,0.0188,False,
Fe,I,5713.41544,64.15,166.34,voigt,0.018,False,
Ti,I,5713.88045,81.77,138.23,voigt,0.014,False,
Fe,I,5714.14532,25.39,9.45,voigt,0.0087,False,
Fe,I,5714.55034,118.35,28.79,voigt,0.0055,False,
Fe,I,5714.87113,82.28,2.28,voigt,0.0007,False,
Fe,I,5715.4694,85.7,5.3,voigt,0.003,False,
Ca,I,5717.51758,77.21,2.13,voigt,0.0006,False,
Mn,I,5718.25995,85.01,8.38,voigt,0.0028,False,
Mn,I,5720.17924,43.37,12.01,voigt,0.0004,False,
Si,I,5721.02117,20.13,1.17,voigt,0.0002,False,
Fe,I,5723.67037,16.75,1.57,voigt,0.0001,False,
Fe,I,5730.854,83.82,19.34,voigt,0.0043,False,
Fe,I,5732.29591,111.13,11.67,voigt,0.0035,False,
Fe,I,5732.86229,76.97,23.89,voigt,0.0045,False,
Ca,I,5735.3994,12.86,1.93,voigt,0.0002,False,
Cr,I,5736.62535,32.05,25.6,voigt,0.0005,False,
Fe,I,5739.77868,34.05,25.05,voigt,0.0004,False,
Fe,I,5741.84732,35.95,1.91,voigt,0.0004,False,
Fe,I,5742.96,49.33,9.57,voigt,0.0016,False,
Fe,I,5744.33133,31.62,5.55,voigt,0.0003,False,
Fe,I,5747.45746,129.12,8.6,voigt,0.0017,False,
Fe,I,5752.03124,59.51,9.81,voigt,0.0092,False,
Fe,I,5752.36056,59.12,6.52,voigt,0.0094,False,
Fe,I,5753.12194,117.09,10.19,voigt,0.0081,False,
Fe,I,5754.40217,109.35,11.06,voigt,0.0104,False,
Ti,I,5756.85032,33.29,0.94,voigt,0.0001,False,
Ca,I,5757.6298,42.95,24.17,voigt,0.0013,False,
Fe,I,5759.26172,40.2,11.76,voigt,0.0024,False,
Fe,I,5762.41276,190.65,66.72,voigt,0.0094,False,
Si,I,5763.42766,177.65,13.53,voigt,0.0071,False,
Fe,I,5769.67405,17.23,1.54,voigt,0.0001,False,
V,I,5770.03237,23.44,14.37,voigt,0.0002,False,
Fe,I,5770.15492,23.86,67.57,voigt,0.0016,False,
Fe,I,5771.60969,82.64,8.7,voigt,0.0022,False,
Si,I,5772.146,65.51,2.22,voigt,0.0003,False,
Fe,I,5775.08016,66.94,1.26,voigt,0.0003,False,
Fe,I,5776.224,36.56,17.89,voigt,0.0044,False,
Fe,I,5779.55568,97.3,34.98,voigt,0.0047,False,
Fe,I,5780.28284,107.58,43.49,voigt,0.0072,False,
Si,I,5780.38377,151.39,18.99,voigt,0.0077,False,
Fe,I,5780.59935,171.72,19.55,voigt,0.0072,False,
Cr,I,5788.3809,65.29,10.37,voigt,0.0021,False,
Fe,I,5790.4078,139.29,18.15,voigt,0.0069,False,
Fe,I,5791.5235,139.46,54.28,voigt,0.0082,False,
Cr,I,5792.17246,100.73,71.44,voigt,0.0121,False,
Fe,I,5793.67864,43.31,3.76,voigt,0.0024,False,
Fe,I,5793.91435,43.4,3.73,voigt,0.0024,False,
Cr,I,5794.629,63.03,74.32,voigt,0.0037,False,
Fe,I,5796.65873,63.57,78.77,voigt,0.0045,False,
Cr,I,5798.50825,72.44,5.66,voigt,0.0022,False,
V,I,5798.91658,96.57,15.78,voigt,0.0039,False,
C,I,5800.6,29.27,2.99,voigt,0.0001,False,NLTE_flag
Ti,I,5804.26004,104.71,12.66,voigt,0.0028,False,
Fe,I,5807.97538,58.5,19.73,voigt,0.0065,False,
Fe,I,5812.4446,32.31,15.0,voigt,0.0003,False,
Fe,I,5815.62536,135.37,21.22,voigt,0.006,False,
Ni,I,5820.21514,18.11,2.2,voigt,0.0001,False,
S,I,5822.7966,30.12,5.93,voigt,0.0001,False,
Cr,I,5824.14502,19.52,13.24,voigt,0.0001,False,
Fe,I,5825.17974,10.6,4.59,voigt,0.0001,False,
Fe,I,5827.8767,17.5,1.09,voigt,0.0001,False,
Ni,I,5831.59547,33.94,0.83,voigt,0.0001,False,
Ti,I,5832.47563,40.67,34.28,voigt,0.0013,False,
Fe,I,5833.92489,26.07,2.64,voigt,0.0005,False,
Fe,I,5835.09966,24.57,2.95,voigt,0.0007,False,
Fe,I,5837.70081,63.75,8.49,voigt,0.0005,False,
Cr,I,5837.81535,52.3,6.58,voigt,0.0004,False,
Ti,I,5841.17343,13.92,8.07,voigt,0.0001,False,
Cr,I,5842.54096,14.46,4.01,voigt,0.0,False,
Si,I,5843.0525,10.09,5.28,voigt,0.0001,False,
Fe,I,5844.91808,31.99,5.97,voigt,0.0001,False,
Fe,I,5849.18358,55.1,11.57,voigt,0.002,False,
Fe,I,5851.2041,52.28,22.41,voigt,0.0023,False,
Fe,I,5853.1483,121.96,28.63,voigt,0.0071,False,
Ba,II,5853.668,74.62,3.56,voigt,0.0027,True,blend_flag; hfs_total_ew
Fe,I,5855.07513,23.27,5.29,voigt,0.0072,False,
Fe,I,5856.0876,39.24,12.41,voigt,0.0199,False,
Fe,I,5858.778,149.04,37.71,voigt,0.024,False,
Fe,I,5859.95651,84.18,3.79,voigt,0.002,False,
Fe,I,5861.10811,10.12,11.42,voigt,0.0145,False,
Fe,I,5862.35574,100.75,12.46,voigt,0.0038,False,
Cr,I,5863.44672,84.22,20.08,voigt,0.0077,False,
Cr,I,5864.02935,22.78,27.78,voigt,0.008,False,
Fe,I,5864.24364,9.73,9.92,voigt,0.008,False,
Fe,I,5864.39191,10.17,5.94,voigt,0.0028,False,
Fe,I,5864.80303,32.44,93.3,voigt,0.0032,False,
Si,I,5866.0536,54.16,16.99,voigt,0.0026,False,
Ca,I,5867.562,30.24,4.2,voigt,0.0032,False,
Ti,I,5869.19822,28.56,48.17,voigt,0.0009,False,
Fe,I,5873.21214,29.77,1.46,voigt,0.0002,False,
Fe,I,5876.27567,38.73,5.04,voigt,0.0004,False,
Cr,I,5876.555,39.65,5.12,voigt,0.0005,False,
Fe,I,5878.59321,37.36,13.86,voigt,0.0008,False,
Fe,I,5879.487,44.11,18.04,voigt,0.0008,False,
Fe,I,5880.02674,70.79,11.44,voigt,0.0006,False,
Fe,I,5883.8162,84.48,1.81,voigt,0.0002,False,
Cr,I,5884.436,105.16,28.62,voigt,0.0054,False,
Fe,I,5898.2153,15.61,7.09,voigt,0.0047,False,
Fe,I,5899.06094,45.44,4.17,voigt,0.0017,False,
Fe,I,5901.53027,29.24,2.9,voigt,0.0011,False,
Ti,I,5903.31486,19.91,8.69,voigt,0.0013,False,
Ti,I,5905.78322,65.87,1.75,voigt,0.0005,False,
Fe,I,5906.84192,23.77,7.25,voigt,0.0047,False,
Cr,I,5908.23479,38.96,58.86,voigt,0.002,False,
Ti,I,5913.72713,150.04,15.1,voigt,0.0086,False,
Fe,I,5918.93076,95.15,16.15,voigt,0.0012,False,
Fe,I,5923.74864,72.86,7.91,voigt,0.0011,False,
Ni,I,5923.93293,68.13,7.79,voigt,0.001,False,
Fe,I,5929.67573,66.48,12.36,voigt,0.011,False,
Ca,I,5930.96503,144.19,27.77,voigt,0.0093,False,
Fe,I,5940.99072,59.44,5.8,voigt,0.0018,False,
Si,I,5944.4244,7.82,3.47,voigt,0.0016,False,
Ti,I,5944.66017,9.29,2.69,voigt,0.0009,False,
Si,I,5950.09157,109.18,131.14,voigt,0.0088,False,
Fe,I,5952.71759,86.79,4.12,voigt,0.0015,False,
Fe,I,5952.88596,85.81,4.06,voigt,0.0014,False,
Ti,I,5953.15927,111.63,13.87,voigt,0.0029,False,
Ti,I,5957.3567,110.53,15.75,voigt,0.0044,False,
Fe,I,5957.86368,82.47,16.14,voigt,0.0045,False,
Fe,I,5958.3324,57.16,11.13,voigt,0.0044,False,
Si,I,5959.42815,50.94,26.7,voigt,0.0011,False,
S,I,5961.21132,18.96,7.72,voigt,0.0001,False,
Fe,I,5961.91771,29.18,10.38,voigt,0.0001,False,
Fe,I,5963.05425,26.46,7.67,voigt,0.0001,False,
Fe,I,5966.98107,58.09,9.89,voigt,0.0014,False,
Ti,I,5969.13621,45.17,6.69,voigt,0.0004,False,
