# RYA-489 Section 6 replication-grade per-line data product
# Every value below is PROJECTED from a committed artifact; this
# file measures nothing. Regenerate with the generator named below.
# star: solar
# element: Fe
# Teff: 5772.0
# log_g: 4.438
# Fe_H: 0.0
# xi_microturb: 1.0
# params_source: GBS: Heiter+2015 (Teff/logg), Jofré+2014 ([Fe/H], ξ)
# reference_stack: py3.12 + numpy 2.x (RYA-517 reference stack)
# damping_source: synthesis
# replication_grade: yes
# gold_version: Fe_I=v5
# commit_sha: 5e22b3d06f6c8899d683b187d52664e6a0519e64
# input_commit: 5e22b3d06f6c8899d683b187d52664e6a0519e64
# litscan_anchor: best_external Amarsi et al. 2021 (A&A 653, A141) sigma_ext 0.04
# generated_utc: 2026-09-24T19:24:31+00:00
# generator_script: scripts/generate_perline_product.py
# invocation: ISPEC_DIR=/mnt/codex-data/engines/ispec_src ~/venv_rya1103/bin/python scripts/generate_perline_product.py --star solar --element Fe --damping-source synthesis   # Sirius: the GES damping needs iSpec
# sources: damping_source=synthesis; replication_grade=yes; linelist=linelist_solar.csv; canonical_gf=canonical_gf.csv; problem_children=problem_children.csv
# discovery: FEED-DRIVEN (RYA-1229): every published product in data/products/solar/Fe.json, resolved to its own per-line artifact through `provenance.copied_to` and gated on n_lines value-equality
# products_published: 160
# products_with_perline_evidence: 139
# products_unresolved: 21
#
# appendix_species: Fe I
# website_export: species-specific subset; source rows are unchanged
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,gf_source,gf_grade,gf_sigma_dex,damping_rad,damping_stark,damping_vdW,damping_form,hfs_isotope_note,band,holding,tier,selector,route,treatment,instrument,arm,method,ew_mA,reduced_ew,red_chi2,sigma_A_dex,sigma_A_basis,engine,scale,A_X_line,status,reason_code,reason_note
Fe,I,15051.749,5.3516,0.25,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,29.989,0.0943319492860613,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.775,in_aggregate,,
Fe,I,15080.22,6.264,-1.03,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,109.352,0.1691029728695658,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.929,in_aggregate,,
Fe,I,15207.526,5.3852,0.2,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,1.008,0.0201393196117522,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.654,in_aggregate,,
Fe,I,15294.56,5.3085,0.59,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,66.718,0.0750219551227169,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.52,in_aggregate,,
Fe,I,15335.383,5.4099,-0.03,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,6.965,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",1D-LTE,1D-LTE,4.501,excluded,DERIVER_EXCLUDED,SYNTHESIS: edge_pinned
Fe,I,15591.49,6.2416,0.9,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,2.769,0.0235909289533493,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.584,in_aggregate,,
Fe,I,15604.22,6.2416,0.77,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,7.627,0.0478991008083704,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.14,in_aggregate,,
Fe,I,15631.948,5.3516,0.01,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,132.184,0.1742774127937934,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.655,in_aggregate,,
Fe,I,15648.51,5.426,-0.61,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,4.647,0.0221021578559406,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.301,in_aggregate,,
Fe,I,15682.016,5.4099,-2.31,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,5.04,0.0442539675048502,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.436,in_aggregate,,
