# RYA-489 Section 6 replication-grade per-line data product
# Every value below is PROJECTED from a committed artifact; this
# file measures nothing. Regenerate with the generator named below.
# star: solar
# element: Fe
# Teff: 5772.0
# log_g: 4.438
# Fe_H: 0.0
# xi_microturb: 1.0
# params_source: GBS: Heiter+2015 (Teff/logg), Jofré+2014 ([Fe/H], ξ)
# reference_stack: py3.12 + numpy 2.x (RYA-517 reference stack)
# damping_source: synthesis
# replication_grade: yes
# gold_version: Fe_I=v5
# commit_sha: 5e22b3d06f6c8899d683b187d52664e6a0519e64
# input_commit: 5e22b3d06f6c8899d683b187d52664e6a0519e64
# litscan_anchor: best_external Amarsi et al. 2021 (A&A 653, A141) sigma_ext 0.04
# generated_utc: 2026-09-24T19:24:31+00:00
# generator_script: scripts/generate_perline_product.py
# invocation: ISPEC_DIR=/mnt/codex-data/engines/ispec_src ~/venv_rya1103/bin/python scripts/generate_perline_product.py --star solar --element Fe --damping-source synthesis   # Sirius: the GES damping needs iSpec
# sources: damping_source=synthesis; replication_grade=yes; linelist=linelist_solar.csv; canonical_gf=canonical_gf.csv; problem_children=problem_children.csv
# discovery: FEED-DRIVEN (RYA-1229): every published product in data/products/solar/Fe.json, resolved to its own per-line artifact through `provenance.copied_to` and gated on n_lines value-equality
# products_published: 160
# products_with_perline_evidence: 139
# products_unresolved: 21
#
# appendix_species: Fe I
# website_export: species-specific subset; source rows are unchanged
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,gf_source,gf_grade,gf_sigma_dex,damping_rad,damping_stark,damping_vdW,damping_form,hfs_isotope_note,band,holding,tier,selector,route,treatment,instrument,arm,method,ew_mA,reduced_ew,red_chi2,sigma_A_dex,sigma_A_basis,engine,scale,A_X_line,status,reason_code,reason_note
Fe,I,15691.853,6.2461,0.65,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,8.756,0.0416277346852249,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.77,in_aggregate,,
Fe,I,15692.747,5.3852,-0.53,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,154.323,0.3970507913566599,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.86,in_aggregate,,
Fe,I,16153.247,5.3516,-0.65,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,3.136,0.030601577610339,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.426,in_aggregate,,
Fe,I,16165.029,6.3192,0.89,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,133.147,0.207954031239102,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.648,in_aggregate,,
Fe,I,16179.583,6.3192,0.15,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,2.578,0.0175795456413128,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.437,in_aggregate,,
Fe,I,16198.503,5.4099,-0.48,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,83.278,1.4071342769445063,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,4.507,excluded,DERIVER_EXCLUDED,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -8.26e-06 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711)."
Fe,I,16324.451,5.3852,-0.59,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,215.791,0.4018026766725117,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.193,in_aggregate,,
Fe,I,16382.251,6.28,0.35,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,6.649,0.0401222068101047,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.424,in_aggregate,,
Fe,I,16396.306,6.28,-0.58,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,52.116,0.2038711411089759,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,6.97,in_aggregate,,
Fe,I,16537.994,6.2865,-0.53,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,5.321,0.03724081029817,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.426,in_aggregate,,
Fe,I,16541.962,6.336,-0.33,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,20.494,0.0731312849398264,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.619,in_aggregate,,
Fe,I,16892.361,6.3515,-0.59,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,183.573,0.3027383852191227,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.637,in_aggregate,,
Fe,I,17277.479,6.3192,-0.56,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,1D-LTE,crires_plus,NIR,synthesis_fit,,,4.527,0.664968973237458,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,4.528,excluded,DERIVER_EXCLUDED,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -5.07e-05 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711)."
Fe,I,15051.749,5.3516,0.25,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,29.874,0.096667374284274,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.84,in_aggregate,,
Fe,I,15207.526,5.3852,0.2,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,0.872,0.0172244285160072,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.73,in_aggregate,,
Fe,I,15294.56,5.3085,0.59,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,67.734,0.0758162211474599,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.549,in_aggregate,,
Fe,I,15335.383,5.4099,-0.03,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,6.667,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,4.506,excluded,DERIVER_EXCLUDED,SYNTHESIS: edge_pinned
Fe,I,15631.948,5.3516,0.01,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,132.508,0.1852721374843109,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.713,in_aggregate,,
Fe,I,15648.51,5.426,-0.61,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,4.592,0.0402291165814488,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.408,in_aggregate,,
Fe,I,15682.016,5.4099,-2.31,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,5.121,0.0438126439765976,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.439,in_aggregate,,
Fe,I,15692.747,5.3852,-0.53,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,153.324,0.193942888209105,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.877,in_aggregate,,
Fe,I,16153.247,5.3516,-0.65,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,3.134,0.0313333077819605,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.503,in_aggregate,,
Fe,I,16198.503,5.4099,-0.48,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,82.743,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,4.501,excluded,DERIVER_EXCLUDED,SYNTHESIS: edge_pinned
Fe,I,16324.451,5.3852,-0.59,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,synthesis_fit,,,215.7,0.3819771780853998,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",ENGINE-B-NLTE,1D-NLTE,7.258,in_aggregate,,
Fe,I,15080.22,6.264,-1.03,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,109.352,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,15591.49,6.2416,0.9,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,2.769,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,15604.22,6.2416,0.77,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,7.627,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,15691.853,6.2461,0.65,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,8.756,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,16165.029,6.3192,0.89,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,133.147,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,16179.583,6.3192,0.15,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,2.578,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,16382.251,6.28,0.35,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,6.649,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,16396.306,6.28,-0.58,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,52.116,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,16537.994,6.2865,-0.53,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,5.321,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,16541.962,6.336,-0.33,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,20.494,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,16892.361,6.3515,-0.59,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,183.573,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,17277.479,6.3192,-0.56,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,crires_plus,NIR,ew_integration,,,4.527,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",ENGINE-B-NLTE,1D-NLTE,,excluded,DERIVER_EXCLUDED,"NO-NLTE-LABEL: the synthesis list carries no NLTE level label for this line, so the deck cannot treat it — bsyn would set departure = 1 and the result would be LTE under an NLTE name. Excluded from the NLTE aggregate and carried by the 1D-LTE product on the same pool. Reduced coverage, not a failed fit (RYA-1206)."
Fe,I,15051.749,5.3516,0.25,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,crires_plus,NIR,synthesis_fit,,,29.712,0.0957197391635406,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.785,in_aggregate,,
Fe,I,15080.22,6.264,-1.03,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,crires_plus,NIR,synthesis_fit,,,109.295,0.1957877475690488,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,8.968,excluded,DERIVER_EXCLUDED,"FIT-NOT-PHYSICAL: A(Fe) = 8.968 is 1.51 dex from solar 7.46, outside the +/-1.5 dex validity bound. This is a NON-CONVERGENT FIT, not an outlier: the bound spans a factor of ~1000 in abundance and cannot shape a result (RYA-1191)."
Fe,I,15207.526,5.3852,0.2,PRIMARY LAB Ruffoni2013,ungraded,,,,,unknown,HFS components in canonical_gf: 1,H,solar_crires_plus_h_rya1094,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,crires_plus,NIR,synthesis_fit,,,0.619,0.0144659918100503,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",synth-1D-LTE-gerber,1D-LTE,7.648,in_aggregate,,
