# RYA-489 Section 6 replication-grade per-line data product
# Every value below is PROJECTED from a committed artifact; this
# file measures nothing. Regenerate with the generator named below.
# star: solar
# element: Fe
# Teff: 5772.0
# log_g: 4.438
# Fe_H: 0.0
# xi_microturb: 1.0
# params_source: GBS: Heiter+2015 (Teff/logg), Jofré+2014 ([Fe/H], ξ)
# reference_stack: py3.12 + numpy 2.x (RYA-517 reference stack)
# damping_source: synthesis
# replication_grade: yes
# gold_version: Fe_I=v5
# commit_sha: 4e3dabb5ba139c89ca0b5f5538afb64525ab8fae
# input_commit: 4e3dabb5ba139c89ca0b5f5538afb64525ab8fae
# litscan_anchor: best_external Amarsi et al. 2021 (A&A 653, A141) sigma_ext 0.04
# generated_utc: 2026-08-18T21:08:52+00:00
# generator_script: scripts/generate_perline_product.py
# sources: damping_source=synthesis; replication_grade=yes; band_products=/home/damienabraxas/rya870_repo/data/results/rya847/gated, /home/damienabraxas/rya870_repo/data/results/rya877; linelist=linelist_solar.csv; canonical_gf=canonical_gf.csv; problem_children=problem_children.csv
#
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,gf_source,gf_grade,gf_sigma_dex,damping_rad,damping_stark,damping_vdW,damping_form,hfs_isotope_note,instrument,arm,method,ew_mA,reduced_ew,red_chi2,sigma_A_dex,sigma_A_basis,engine,scale,A_X_line,status,reason_code,reason_note
Fe,I,10753.004,3.9597,-1.845,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,2.078,0.0183601715959812,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.272,in_aggregate,,
Fe,I,10783.05,3.111,-2.567,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,10.559,0.0400078810037003,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.324,in_aggregate,,
Fe,I,10818.274,3.9597,-1.948,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,49.907,0.1014359633234485,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.296,in_aggregate,,
Fe,I,10863.518,4.7331,-0.9,PRIMARY LAB Ruffoni2014,ungraded,0.02,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,7.142,0.037738487564419,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.689,in_aggregate,,
Fe,I,10884.263,3.9286,-1.925,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,11.69,0.0452550816405622,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.308,in_aggregate,,
Fe,I,10896.299,3.0713,-2.694,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,25.735,0.0626828296074561,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.305,in_aggregate,,
Fe,I,11119.795,2.845,-2.202,VALD3,NIST:C+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,1172.959,0.6874524152372803,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.833,flagged_kept,TELLURIC_ADJACENT,"0.205 A below the H2O 11120-11560 A edge in telluric_policy.TELLURIC_BANDS, so the band list does not catch it while the absorption plainly reaches it: Kitt Peak window median flux 0.872 against a synthesis normalised to unity (RYA-843 measured 0.966-0.996 for clean lines in the same band). NO ATLAS CAN REFEREE IT -- the telluric_policy KP-vs-IAG discriminator needs IAG, and the staged atlas stops at 11083.4 A, below this line. Excluded CONSERVATIVELY on that unresolvable ambiguity, not on its fitted value: it fits at 7.833, a perfectly plausible number, and its chi2 moves only 2.2% across 8 dex of iron, so it measured nothing and landed there by luck. Retire when an atlas that reaches 11120 A can adjudicate the band edge."
Fe,I,11572.523,6.28,0.322,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,686.493,0.5372600727760447,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.979,in_aggregate,,
Fe,I,11593.588,2.2227,-2.448,VALD3,NIST:C+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,1225.894,0.4510395217817999,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,10.559,in_aggregate,,
Fe,I,11607.572,2.1979,-2.009,VALD3,NIST:C+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,69.02,0.1481671883483689,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.55,in_aggregate,,
Fe,I,11638.26,2.1759,-2.214,VALD3,NIST:B,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,17.89,0.0746661108567377,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.517,in_aggregate,,
Fe,I,11689.972,2.2227,-2.068,VALD3,NIST:C+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,243.955,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",1D-LTE,1D-LTE,12.486,excluded,DERIVER_EXCLUDED,SYNTHESIS: edge_pinned
Fe,I,11783.265,2.8316,-1.574,VALD3,NIST:B,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,70.327,0.1176095947188487,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.949,in_aggregate,,
Fe,I,11882.844,2.1979,-1.668,VALD3,NIST:B,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,419.072,0.2195648430350004,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.851,in_aggregate,,
Fe,I,11973.046,2.1759,-1.483,VALD3,NIST:B,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,222.316,0.2121126153058359,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,10.056,in_aggregate,,
Fe,I,12190.098,3.6352,-2.33,VALD3,NIST:D+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,42.04,0.1194746912955715,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.736,in_aggregate,,
Fe,I,12227.112,4.607,-1.368,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,79.848,0.1041260097168135,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.419,in_aggregate,,
Fe,I,12342.916,4.6382,-1.463,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,2.421,0.021568754128753,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.438,in_aggregate,,
Fe,I,12556.996,2.2786,-3.626,VALD3,NIST:C+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,71.937,0.1187822440342337,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.307,in_aggregate,,
Fe,I,12615.928,4.6382,-1.517,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,232.885,0.2196884761095448,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.702,in_aggregate,,
Fe,I,12638.703,4.5585,-0.783,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,392.146,0.4479203204628486,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,12.486,excluded,DERIVER_EXCLUDED,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -1.95e-05 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711)."
Fe,I,12648.741,4.607,-1.14,VALD3,NIST:C+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,422.528,,"no chi2 surface on this route — EW inversion, see ew_mA for the measured quantity",1D-LTE,1D-LTE,12.489,excluded,DERIVER_EXCLUDED,SYNTHESIS: edge_pinned
Fe,I,12807.152,3.6398,-2.452,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,73.699,0.0959414104764109,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.5,in_aggregate,,
Fe,I,12879.766,2.2786,-3.458,VALD3,NIST:C+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,34.645,0.0925835305037269,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.626,in_aggregate,,
Fe,I,3000.468,1.4849,-1.095392636184552,NIST ASD (astroquery) T5720,NIST:B+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,88.024,0.0090657860535322,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.307,in_aggregate,,
Fe,I,3006.605,3.241,-0.9440027967300698,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 2,kpno_solar_atlas,near-UV,synthesis_fit,,,305.409,0.0816549927522259,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,6.837,in_aggregate,,
Fe,I,3031.476,2.5881,-2.262,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,77.687,0.0388010987458198,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.458,in_aggregate,,
Fe,I,3087.431,3.6343,-4.122,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,891.296,0.2406960177206527,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.392,in_aggregate,,
Fe,I,3099.921,1.0111,-1.0788339493622612,NIST ASD (astroquery) T5720,NIST:C+,0.03,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,122.058,0.037289320831683,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.283,in_aggregate,,
Fe,I,3110.108,3.4149,-1.277,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,394.27,0.0800981939141331,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.069,in_aggregate,,
Fe,I,3123.199,2.4327,-2.299,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,999.515,0.1034068445771937,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.022,in_aggregate,,
Fe,I,3162.329,2.4496,-2.244,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,64.406,0.0465110574123277,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.506,in_aggregate,,
Fe,I,3175.31,1.4849,-3.296,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,528.762,0.110402827715116,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.041,in_aggregate,,
Fe,I,3225.606,2.4327,-2.1855526214775125,NIST ASD (astroquery) T5720,NIST:C,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,77.153,0.0412985470764955,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.205,in_aggregate,,
Fe,I,3249.191,2.9398,-3.703,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,126.289,0.0726839783862149,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.047,in_aggregate,,
Fe,I,3253.942,2.6085,-1.971,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,119.715,0.0710195927193278,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.249,in_aggregate,,
Fe,I,3261.325,3.417,-0.984,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,62.337,0.0461792844548738,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.51,in_aggregate,,
Fe,I,3292.033,3.2515,-0.0721165896692931,NIST ASD (astroquery) T5720,NIST:B+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,139.066,0.0721969824684358,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.385,in_aggregate,,
Fe,I,3312.698,2.8581,-1.564,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,258.993,0.0801481396390992,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.165,in_aggregate,,
Fe,I,3334.218,2.4327,-2.045854011170452,NIST ASD (astroquery) T5720,NIST:C+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,462.217,0.1815003566058299,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.558,in_aggregate,,
Fe,I,3387.405,2.7586,-1.579,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,78.383,0.0293541787847196,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.719,in_aggregate,,
Fe,I,3393.588,2.7586,-1.58,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,82.845,0.0754759425875291,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.328,in_aggregate,,
Fe,I,3439.035,2.7275,-1.556,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,51.808,0.030160985825232,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.537,in_aggregate,,
Fe,I,3457.086,3.6025,-0.556,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,44.508,0.0344612640866698,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.225,in_aggregate,,
Fe,I,3469.83,2.6085,-1.558304864359283,NIST ASD (astroquery) T5720,NIST:C,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,77.661,0.0676871188444991,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.418,in_aggregate,,
Fe,I,3476.344,2.2786,-2.447,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,61.211,0.020952531876963,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.29,in_aggregate,,
Fe,I,3509.862,2.2227,-2.017728766960432,NIST ASD (astroquery) T2578n,NIST:E,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,82.015,0.1204128492468498,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,6.986,in_aggregate,,
Fe,I,3559.503,3.0713,-0.910094888560602,NIST ASD (astroquery) T2491n,NIST:D+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,124.531,0.0633155780234644,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.73,in_aggregate,,
Fe,I,3572.59,2.8512,-1.2436682326789423,NIST ASD (astroquery) T5720,NIST:C,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,79.697,0.0572796331869256,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.199,in_aggregate,,
Fe,I,3576.758,3.5465,-3.716,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,410.068,0.1214588522334,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,8.398,in_aggregate,,
Fe,I,3599.625,3.5732,-0.39040559077478,NIST ASD (astroquery) T5720,NIST:B+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,523.505,0.1622159522122066,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.601,in_aggregate,,
Fe,I,3617.318,3.4149,-0.493,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,136.767,0.0327614608765459,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.477,excluded,NON_MINIMUM,"The optimizer returned a point that is NOT a minimum: chi2 at a bracket end is BELOW chi2 at the reported best fit (frac_rise = -0.117), so the fit did not determine A(Fe) at all. A correctness failure, not a quality judgement -- there is no threshold involved, only the sign. 🔴 ITS VALUE LOOKS PERFECTLY NORMAL: A = 7.477, indistinguishable from solar, which is exactly why no plausibility check could ever have found it and why the RYA-847 sweep was needed. Removing it moves the near-UV 1D-LTE cell 7.4875 -> 7.4980 and makes the scatter slightly WORSE (0.4126 -> 0.4178): this exclusion costs dispersion rather than buying it, which is the evidence that it is a validity cut and not tuning (RYA-161/844). Caught automatically by the constraint gate; recorded here so the cut is reproducible from its stated reason without running the pipeline."
Fe,I,3624.28,3.8835,0.062,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,131.9,0.0850792025236001,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.406,in_aggregate,,
Fe,I,3632.555,2.9488,-0.994347684644926,NIST ASD (astroquery) T2578n,NIST:D,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,138.467,0.0313023163886598,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.639,in_aggregate,,
Fe,I,3636.994,2.5881,-1.4559319556497243,NIST ASD (astroquery) T5720,NIST:B,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,103.949,0.0411098299474095,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.247,in_aggregate,,
Fe,I,3643.715,2.6085,-1.438898616350944,NIST ASD (astroquery) T5720,NIST:B,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,27.67,0.0329522820514134,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.252,in_aggregate,,
Fe,I,3650.098,3.9841,0.069,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,307.508,0.0585964846196971,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.048,in_aggregate,,
Fe,I,3656.21,3.274,-0.76,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,61.785,0.0670090597784393,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.498,in_aggregate,,
Fe,I,3664.537,2.998,-1.072116589669293,NIST ASD (astroquery) T5720,NIST:B,0.03,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,281.879,0.2736497011967314,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.648,in_aggregate,,
Fe,I,3680.784,3.3965,-2.607,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,137.525,0.0302381666670063,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.78,in_aggregate,,
Fe,I,3703.821,2.8581,-1.2006594505464183,NIST ASD (astroquery) T5720,NIST:B,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,42.162,0.0348608407402291,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.386,in_aggregate,,
Fe,I,3731.373,2.6085,-1.4528408786725826,NIST ASD (astroquery) T4293,NIST:B,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,116.243,0.0422437410314392,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.772,in_aggregate,,
Fe,I,3756.937,3.5732,-0.2773660774661877,NIST ASD (astroquery) T2491n,NIST:D+,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,near-UV,synthesis_fit,,,63.747,0.0278195727452084,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.409,in_aggregate,,
