# RYA-489 Section 6 replication-grade per-line data product
# Every value below is PROJECTED from a committed artifact; this
# file measures nothing. Regenerate with the generator named below.
# star: solar
# element: Fe
# Teff: 5772.0
# log_g: 4.438
# Fe_H: 0.0
# xi_microturb: 1.0
# params_source: GBS: Heiter+2015 (Teff/logg), Jofré+2014 ([Fe/H], ξ)
# reference_stack: py3.12 + numpy 2.x (RYA-517 reference stack)
# damping_source: synthesis
# replication_grade: yes
# gold_version: Fe_I=v5
# commit_sha: 4e3dabb5ba139c89ca0b5f5538afb64525ab8fae
# input_commit: 4e3dabb5ba139c89ca0b5f5538afb64525ab8fae
# litscan_anchor: best_external Amarsi et al. 2021 (A&A 653, A141) sigma_ext 0.04
# generated_utc: 2026-08-18T21:08:52+00:00
# generator_script: scripts/generate_perline_product.py
# sources: damping_source=synthesis; replication_grade=yes; band_products=/home/damienabraxas/rya870_repo/data/results/rya847/gated, /home/damienabraxas/rya870_repo/data/results/rya877; linelist=linelist_solar.csv; canonical_gf=canonical_gf.csv; problem_children=problem_children.csv
#
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,gf_source,gf_grade,gf_sigma_dex,damping_rad,damping_stark,damping_vdW,damping_form,hfs_isotope_note,instrument,arm,method,ew_mA,reduced_ew,red_chi2,sigma_A_dex,sigma_A_basis,engine,scale,A_X_line,status,reason_code,reason_note
Fe,I,10065.045,4.8349,-0.2889999999999999,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,63.286,0.0339114671320182,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.547,in_aggregate,,
Fe,I,10145.561,4.7955,-0.177,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,72.074,0.0998941599194448,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.452,in_aggregate,,
Fe,I,10216.313,4.7331,-0.13,PRIMARY LAB Ruffoni2014,ungraded,0.02,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,45.772,0.0740862804567383,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.5,in_aggregate,,
Fe,I,10340.885,2.1979,-3.577,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,45.42,0.0840787937933887,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.446,in_aggregate,,
Fe,I,10347.965,5.3933,-0.551,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,0.804,0.0113534649502779,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.306,in_aggregate,,
Fe,I,10395.794,2.1759,-3.393,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,17.971,0.0520690762533682,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.492,in_aggregate,,
Fe,I,10423.743,3.0713,-2.918,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,46.175,0.0684318427099954,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.385,in_aggregate,,
Fe,I,10469.652,3.8835,-1.184,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,48.401,0.1090819106841554,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.437,in_aggregate,,
Fe,I,10532.234,3.9286,-1.48,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,4.071,0.0265945383933022,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,7.353,in_aggregate,,
Fe,I,10717.806,5.5392,-0.436,VALD3,ungraded,,,,,unknown,HFS components in canonical_gf: 1,kpno_solar_atlas,NIR,synthesis_fit,,,48.54,0.2785086637607348,"chi2 curvature at the minimum, rescaled to red_chi2==1 (RYA-847/848)",1D-LTE,1D-LTE,6.449,in_aggregate,,
